 SCHEDULE FA1 (REVISI 0) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 LINE , PART NO , MODEL , SPEC , PEDAL , SCREW SET , KEYBOARD , NO PART KEYBOARD , NO. URUT ,SCHEDULE (REVISI 0),,,,,,,TOTAL,GROUP KERJA, Wkt kerja ,Target Eff Direct,Jmlh Group, Jml Opr Direct , ST ,"Beban
(ST x Sch)",,,,,,,Judgment Capacity,"TAKT TIME PER MODEL
(BEBAN/TOTAL BEBAN) * WAKTU KERJA/SCH",,,,,,,"LAMA PENGERJAAN
(Takt Time x Sch)",,,,,,, WAKTU PENGERJAAN (berdasarkan Takt Time Per Model) ,,,,,,,,,,,,,,,,,,,,,Takt Time ALL Model, Takt Time Per Model , Pitch Time  ,Pitch : Takt,,,,,,,,,,,,,,,,
,,,,,,,,,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,,,,,,,,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,Sun,,Istirahat,Mon,,Istirahat,Tue,,Istirahat,Wed,,Istirahat,Thu,,Istirahat,Fri,,Istirahat,Sat,,Istirahat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Sun,Mon,Tue,Wed,Thu,Fri,Sat,,,,,,,,Sun,Mon,Tue,Wed,Thu,Fri,Sat,,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Start,Stop,,Start,Stop,,Start,Stop,,Start,Stop,,Start,Stop,,Start,Stop,,Start,Stop,,,,,,,Note:,,,,,,,,,,,,,,
 TOTAL FA1-L01 ,,,,,,,,,              -,86,86,86,86,64,              -,408,,470,,,13,,                    -  ,"7,182","7,182","7,182","7,182","5,345",                    -  , Jumlah Orang OK ,,,,,,,,                  -,470,470,470,470,470,                  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,,,0,,               -  ,"7,182","7,182","7,182","7,182","7,182",               -  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,,,0,,               -  ,               -  ,               -  ,               -  ,               -  ,"1,837",               -  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA1-L02,,,,,,,,,,,,,,,,                 -,S1 + S3,880,119.00%,2,26,,                -  ,                -  ,                -  ,                -  ,                -  ,                -  ,                -  , OVER Capacity ,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7.1,,,- ,,,,,,,,,,,,,,,,
,VGF3740,CLP-835R,Y2,VFG9700,ZH88230,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,1,20,         -,,         -,,         -,         -,20,,,,,,109.12,"2,182",                -  ,                -  ,                -  ,                -  ,                -  ,                -  ,,15.2,               -,               -,               -,               -,               -,               -,303,               -,               -,               -,               -,               -,               -,7:00,12:03,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,,15.17,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF3790,CLP-835B,J,VFG9690,ZH88230,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,2,20,         -,,         -,,,         -,20,,,,,,109.12,"2,182",                -  ,                -  ,                -  ,                -  ,                -  ,                -  ,,15.2,               -,               -,               -,               -,               -,               -,303,               -,               -,               -,               -,               -,               -,12:03,17:06,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,,15.17,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF3870,CLP-835WH,E,VFG9690,ZH88230,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,3,18,11,,         -,,         -,         -,29,,,,,,109.12,"1,964","1,200",                -  ,                -  ,                -  ,                -  ,                -  ,,15.2,7.1,               -,               -,               -,               -,               -,273,78,               -,               -,               -,               -,               -,17:06,21:40,,7:00,8:17,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,,15.17,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF3930,CLP-835WH,K,VFG9690,ZH88230,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,4,         -,         -,,12,,         -,         -,12,,,,,,109.12,                -  ,                -  ,                -  ,"1,309",                -  ,                -  ,                -  ,,               -,               -,               -,7.1,               -,               -,               -,               -,               -,               -,85,               -,               -,               -,21:40,21:40,,8:17,8:17,,7:00,7:00,,7:00,8:24,,7:00,7:00,,7:00,7:00,,7:00,7:00,,,7.06,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF3080,CLP-845R,J,VFG9700,ZH88230,NL4SAW2 KEYBOARD AI_EB_ESC_88,VGN1290,5,         -,         -,,20,         -,         -,         -,20,,,,,,121.76,                -  ,                -  ,                -  ,"2,435",                -  ,                -  ,                -  ,,               -,               -,               -,7.9,               -,               -,               -,               -,               -,               -,158,               -,               -,               -,21:40,21:40,,8:17,8:17,,7:00,7:00,,8:24,11:17,15,7:00,7:00,,7:00,7:00,,7:00,7:00,,,7.88,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF3140,CLP-845R,Y2,VFG9700,ZH88230,NL4SAW2 KEYBOARD AI_EB_ESC_88,VGN1290,6,         -,20,,         -,         -,19,         -,39,,,,,,121.76,                -  ,"2,435",                -  ,                -  ,                -  ,"2,313",                -  ,,               -,7.9,               -,               -,               -,13.8,               -,               -,158,               -,               -,               -,261,               -,21:40,21:40,,8:17,11:10,15,7:00,7:00,,11:17,11:17,,7:00,7:00,,7:00,11:36,15,7:00,7:00,,,13.75,               -  ,0.00%,,,,,,,,,,,,,,,,
