Reserv.no., Itm,RcT,MvT,Material,Material description,ReqmtsDate,Reqmts qty,BUn,Qty. withdr.,BUn,Difference,BUn,PGr,Bin,User name,Base date,Plnt,SLoc,Plant,Rec.,Del,FIs,G/L acct,Cost ctr,Vendor
1215823604,1,,9L7,VAP0450,ARM ASSY R 000144,10.09.2025,95,PC,0,PC,95,PC,999,,BP5018200,04.09.2025,8200,WM06,8200,WL02,,,,,
1215823605,1,,9L7,VAP0460,ARM ASSY L 000145,10.09.2025,20,PC,0,PC,20,PC,999,,BP5018200,04.09.2025,8200,WM06,8200,WL02,,,,,
1215823606,1,,9L7,VGH3290,REAR PANEL ASSY 001907,10.09.2025,20,PC,0,PC,20,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL10,,,,,
1215823607,1,,9L7,WT69170,REAR PANEL SET CL #3227,10.09.2025,360,PC,0,PC,360,PC,999,,BP5018200,04.09.2025,8200,WM10,8200,WL02,,,,,
1215823608,1,,9L7,VAP0470,ARM ASSY R 000145,10.09.2025,20,PC,0,PC,20,PC,999,,BP5018200,04.09.2025,8200,WM06,8200,WL02,,,,,
1215823609,1,,9L7,VGH3290,REAR PANEL ASSY 001907,10.09.2025,100,PC,0,PC,100,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL01,,,,,
1215823610,1,,9L7,VGH3300,REAR PANEL ASSY 001909,10.09.2025,50,PC,0,PC,50,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL01,,,,,
1215823623,1,,9L7,VGH6000,FRONT LEG STAY L 001918,10.09.2025,10,PC,0,PC,10,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL10,,,,,
1215823625,1,,9L7,WZ12560,SIDE BOARD(L) #3382 YDP-162/163B,10.09.2025,220,PC,0,PC,220,PC,999,,BP5018200,04.09.2025,8200,WM06,8200,WL02,,,,,
1215823627,1,,9L7,VGH6010,FRONT LEG STAY R 001918,10.09.2025,20,PC,0,PC,20,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL10,,,,,
1215823628,1,,9L7,WZ12610,SIDE BOARD(R) #3382 YDP162/163B,10.09.2025,220,PC,0,PC,220,PC,999,,BP5018200,04.09.2025,8200,WM06,8200,WL02,,,,,
1215823632,1,,9L7,VGH6240,PEDAL BOX SUB ASSY 001912,10.09.2025,20,PC,0,PC,20,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL10,,,,,
1215823634,1,,9L7,VGJ0340,REAR PANEL 001798,10.09.2025,30,PC,0,PC,30,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL10,,,,,
1215823635,1,,9L7,VGJ0340,REAR PANEL 001798,10.09.2025,30,PC,0,PC,30,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL01,,,,,
1215823636,1,,9L7,VGJ2820,SIDE BOARD L 001798,10.09.2025,10,PC,0,PC,10,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823637,1,,9L7,VGJ2830,SIDE BOARD R 001798,10.09.2025,10,PC,0,PC,10,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823639,1,,9L7,VGJ2920,FRONT LEG 001798,10.09.2025,30,PC,0,PC,30,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823640,1,,9L7,VGJ2980,LEG STAY L 001798,10.09.2025,20,PC,0,PC,20,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823641,1,,9L7,VGJ2990,LEG STAY R 001798,10.09.2025,20,PC,0,PC,20,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823642,1,,9L7,VDH9140,ARM ASSY L 000146,10.09.2025,70,PC,0,PC,70,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL02,,,,,
1215823643,1,,9L7,VGQ0070,FRONT LEG L 001927,10.09.2025,50,PC,0,PC,50,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823644,1,,9L7,VDH9150,ARM ASSY R 000146,10.09.2025,70,PC,0,PC,70,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL02,,,,,
1215823645,1,,9L7,VGQ0110,FRONT LEG R 001927,10.09.2025,50,PC,0,PC,50,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823647,1,,9L7,VDH9170,MUSIC REST ASSY 000146,10.09.2025,70,PC,0,PC,70,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL02,,,,,
1215823650,1,,9L7,VDH9200,ARM ASSY L 000149,10.09.2025,130,PC,0,PC,130,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL02,,,,,
1215823652,1,,9L7,VGQ0170,FRONT LEG STAY L 001927,10.09.2025,50,PC,0,PC,50,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
